Year,Month_AR,Month_EN,Service_AR,Service_EN,Category_AR,Category_EN,Number of Certificates of Health
2017.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2017.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2017.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2017.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2017.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2018.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,297.0
2018.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,389.0
2018.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,417.0
2018.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2018.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2018.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,5.0
2019.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,327.0
2019.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,359.0
2019.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,247.0
2019.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,317.0
2019.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,3.0
2019.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,7.0
2019.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,4.0
2020.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,170.0
2020.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,126.0
2020.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,165.0
2020.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2020.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2020.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,3.0
2021.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,319.0
2021.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,177.0
2021.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,210.0
2021.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,195.0
2021.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2021.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2022.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,223.0
2022.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,156.0
2022.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,151.0
2022.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,217.0
2022.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,211.0
2022.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2022.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2022.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2022.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2022.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2022.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2023.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,239.0
2023.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,273.0
2023.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2023.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2023.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,2.0
